SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,AADT,DIRECTION,85PCT,PRIORITY_POINTS
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,06/20/2022,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,986","2,760",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,JUST WEST OF PATTON RD (EB),A,VC,HFX,4,"1,396","1,310",E,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,JUST WEST OF PATTON RD (WB),A,VC,HFX,4,"1,774","1,350",W,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,733","2,550",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11/24/2020,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,350","2,460",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09-09-2019,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,566","2,430",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11-01-2018,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,312","2,320",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,07-06-2017,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,4,"1,466","1,300",W,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,06-07-2017,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,3,"1,383","1,230",E,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/19/2016,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,590","2,440",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/28/2015,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,195","2,100",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/16/2013,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,579","2,430",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/22/2012,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,381","2,330",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/13/2011,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,241","2,160",,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11-12-2009,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,8,"1,012","1,030",W,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11-12-2009,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,8,981,"1,000",E,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/20/2008,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,4,"1,016","1,000",W,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/20/2008,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,4,965,950,E,,
1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,08-01-2007,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,"2,769","2,450",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/20/2022,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"7,104","6,390",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),04/21/2021,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"6,023","6,290",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09-09-2019,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"6,164","5,520",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07-03-2019,TK 1 AT ETTER RD (MT UNIACKE),,SA,HAN,,,,,,27
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M WEST OF ETTER RD (WB),B,VC,HAN,6,"2,984","2,690",W,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M WEST OF ETTER RD (EB),B,VC,HAN,5,"2,924","2,640",E,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M EAST OF ETTER RD (EB),B,VC,HAN,9,"3,934","3,545",E,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M EAST OF ETTER RD (WB),B,VC,HAN,8,"4,266","3,840",W,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),11-01-2018,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,"5,891","5,890",,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07-06-2017,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),B,VC,HAN,5,"3,063","2,750",E,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07-06-2017,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),B,VC,HAN,6,"2,958","2,660",W,,
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/31/2016,JUST EAST OF DEMMINGS DR INTER/S,B,TC,HAN,,"4,211","4,310",,,
